iter	F1	Logloss
0	0.6580478866	0.678125414
1	0.6060997631	0.6652244687
2	0.6083312184	0.6507591555
3	0.6114735351	0.6395663502
4	0.6111301841	0.6297152557
5	0.6099354916	0.6194832245
6	0.611753746	0.612196012
7	0.6130688784	0.6062973562
8	0.6234236074	0.5992018179
9	0.6224214036	0.5952637392
10	0.6240572685	0.5913333021
11	0.6264187692	0.5881245893
12	0.6263389715	0.5869008974
13	0.6256375292	0.5833363046
14	0.6237410863	0.5804402634
15	0.6264764728	0.5781410729
16	0.6263788172	0.5758946379
17	0.6273309911	0.5731879422
18	0.6288096469	0.5708412978
19	0.6254039328	0.5678393092
20	0.6322124699	0.5664711895
21	0.6330480122	0.5654979309
22	0.6366130833	0.5637371005
23	0.637202335	0.5618068987
24	0.6395251468	0.5607469292
25	0.6421256402	0.5596108097
26	0.6456308286	0.5576981863
27	0.6451032272	0.5573254773
28	0.6459267769	0.5554201573
29	0.6498074262	0.5540650113
30	0.6476063325	0.5536052494
31	0.6479663782	0.5530790942
32	0.6491450618	0.552174027
33	0.6542135192	0.5511912867
34	0.656758539	0.5495581832
35	0.6627286279	0.5485798815
36	0.6614337278	0.5467559155
37	0.6640803851	0.5460262228
38	0.6692842211	0.5444353997
39	0.6705983343	0.5432851814
40	0.6761469197	0.542156378
41	0.6761469197	0.5415192228
42	0.6800523557	0.5403075389
43	0.6800471997	0.5400291051
44	0.6803551316	0.5395236351
45	0.6811574436	0.5387760111
46	0.6798655082	0.5381415708
47	0.6800627026	0.5368231781
48	0.6813596957	0.5367458726
49	0.6786573258	0.5364580769
50	0.6813530718	0.5359084638
51	0.6829567225	0.5352585405
52	0.6840631008	0.5344333598
53	0.6838601426	0.5333996348
54	0.6859265631	0.5333168594
55	0.6884997425	0.5321754082
56	0.6923147073	0.5307157689
57	0.6938641732	0.5299094402
58	0.6951455881	0.5287203589
59	0.7000041171	0.5274833173
60	0.7014260141	0.5266177359
61	0.7019813439	0.5260750256
62	0.7015282343	0.5254151646
63	0.7036911032	0.5249451059
64	0.7053068808	0.5238874284
65	0.7053766024	0.5231006668
66	0.7046215655	0.5224745324
67	0.705274126	0.521951162
68	0.7053766024	0.5218779057
69	0.7071217582	0.5208992202
70	0.7080783508	0.5204098223
71	0.7090994988	0.5200745413
72	0.7124059132	0.519549494
73	0.7146569526	0.5187902121
74	0.7146569526	0.5186812834
75	0.7149243155	0.5177692789
76	0.7170831431	0.5177331792
77	0.717024946	0.517242575
78	0.7163003495	0.5170225816
79	0.7192327966	0.5164718614
80	0.7197512633	0.515937721
81	0.7196550183	0.5153713484
82	0.720958746	0.514765449
83	0.7209538937	0.5143157834
84	0.7243341179	0.5137654844
85	0.7276844868	0.5130461826
86	0.7281472406	0.5127318998
87	0.7277320015	0.512424904
88	0.7302930201	0.5113779834
89	0.7285991027	0.5106588697
90	0.7301891753	0.5102012916
91	0.7306493868	0.509884888
92	0.7311092649	0.5096147113
93	0.7317766953	0.5092650829
94	0.7327989398	0.5089533084
95	0.7350483722	0.5083616917
96	0.735818854	0.5075587177
97	0.7369804515	0.507452352
98	0.7361716054	0.5073483602
99	0.7361716054	0.5066810851
100	0.7364587094	0.506404914
101	0.7382433355	0.505751102
102	0.7392941437	0.5050571007
103	0.7410737047	0.5043046135
104	0.7433435074	0.5034694633
105	0.7440066757	0.5032017935
106	0.7422267782	0.5024857997
107	0.7417022094	0.5023097335
108	0.7426085359	0.5021404211
109	0.7407945753	0.5017850145
110	0.7414925894	0.5014779503
111	0.741317556	0.5009293735
112	0.7415268735	0.5008944121
113	0.7430940172	0.5005414963
