iter	Passed	Remaining
0	6	2030
1	12	1829
2	17	1771
3	23	1737
4	30	1786
5	37	1832
6	42	1782
7	50	1851
8	56	1823
9	62	1808
10	68	1791
11	73	1773
12	77	1705
13	82	1690
14	86	1645
15	92	1641
16	99	1658
17	104	1636
18	112	1667
19	117	1648
20	123	1638
21	129	1633
22	135	1633
23	140	1614
24	146	1611
25	151	1597
26	156	1582
27	159	1553
28	165	1548
29	170	1534
30	173	1504
31	179	1502
32	184	1494
33	189	1484
34	198	1500
35	202	1486
36	208	1485
37	215	1484
38	220	1473
39	228	1486
40	235	1488
41	241	1481
42	248	1483
43	253	1473
44	259	1471
45	265	1468
46	270	1457
47	278	1460
48	280	1434
49	285	1426
50	291	1422
51	297	1417
52	302	1408
53	308	1403
54	311	1387
55	316	1378
56	322	1373
57	329	1373
58	334	1367
59	339	1359
60	346	1357
61	351	1348
62	358	1348
63	363	1340
64	368	1334
65	376	1333
66	381	1327
67	386	1318
68	390	1306
69	396	1302
70	400	1293
71	405	1285
72	412	1282
73	418	1276
74	421	1264
75	424	1251
76	427	1237
77	432	1231
78	437	1224
79	444	1222
80	449	1214
81	455	1211
82	463	1210
83	470	1210
84	477	1208
85	483	1204
86	492	1206
87	499	1203
88	505	1199
89	511	1193
90	516	1185
91	520	1177
92	525	1168
93	529	1161
94	534	1153
95	541	1149
96	546	1142
97	549	1132
98	552	1121
99	557	1115
100	562	1108
101	567	1101
102	572	1094
103	577	1088
104	582	1081
105	587	1075
106	593	1069
107	599	1065
108	606	1063
109	612	1058
110	617	1052
111	623	1046
112	626	1036
113	631	1030
114	636	1024
115	641	1017
116	646	1011
117	648	1000
118	655	997
119	661	992
120	667	987
121	673	983
122	679	977
123	684	972
124	689	965
125	695	959
126	699	953
127	702	943
128	706	937
129	710	929
130	716	923
131	721	917
132	726	911
133	731	905
134	737	901
135	742	895
136	744	885
137	749	880
138	754	874
139	759	868
140	765	863
141	771	857
142	776	852
143	781	846
144	786	840
145	791	835
146	794	827
147	800	822
148	806	817
149	811	811
150	817	806
151	821	799
152	827	794
153	832	788
154	837	783
155	842	777
156	847	771
157	851	765
158	857	760
159	858	751
160	863	745
161	866	737
162	872	732
163	874	725
164	879	719
165	883	713
166	889	708
167	895	703
168	901	698
169	906	693
170	911	687
171	916	681
172	921	676
173	925	670
174	931	665
175	936	659
176	941	653
177	946	648
178	952	643
179	957	638
180	963	633
181	967	627
182	972	621
183	977	616
184	982	610
185	986	604
186	990	598
187	995	592
188	1001	588
189	1007	583
190	1014	578
191	1020	573
192	1025	568
193	1032	563
194	1037	558
195	1043	553
196	1050	549
197	1055	543
198	1060	538
199	1067	533
200	1073	528
201	1076	522
202	1081	516
203	1084	510
204	1089	504
205	1096	500
206	1101	494
207	1107	489
208	1115	485
209	1117	478
210	1119	472
211	1126	467
212	1133	462
213	1139	457
214	1145	453
215	1150	447
216	1156	442
217	1164	437
218	1169	432
219	1177	428
220	1184	423
221	1186	417
222	1192	411
223	1199	406
224	1204	401
225	1211	396
226	1216	391
227	1221	385
228	1228	380
229	1234	375
230	1239	370
231	1247	365
232	1252	360
233	1254	353
234	1260	348
235	1266	343
236	1270	337
237	1279	333
238	1284	327
239	1293	323
240	1298	317
241	1306	313
242	1313	308
243	1318	302
244	1325	297
245	1331	292
246	1333	286
247	1342	281
248	1347	275
249	1352	270
250	1360	265
251	1365	260
252	1367	254
253	1376	249
254	1382	244
255	1388	238
256	1394	233
257	1400	227
258	1406	222
259	1409	216
260	1413	211
261	1420	206
262	1425	200
263	1431	195
264	1436	189
265	1441	184
266	1445	178
267	1450	173
268	1456	167
269	1461	162
270	1464	156
271	1469	151
272	1474	145
273	1479	140
274	1483	134
275	1488	129
276	1493	124
277	1497	118
278	1503	113
279	1508	107
280	1513	102
281	1518	96
282	1523	91
283	1527	86
284	1532	80
285	1537	75
286	1542	69
287	1548	64
288	1553	59
289	1558	53
290	1563	48
291	1568	42
292	1574	37
293	1579	32
294	1584	26
295	1589	21
296	1594	16
297	1599	10
298	1605	5
299	1611	0
