iter	Logloss
0	0.6861131779
1	0.6787879481
2	0.6718295719
3	0.6610838794
4	0.6506544365
5	0.6453570636
6	0.6368258532
7	0.6316623606
8	0.6269886825
9	0.623204888
10	0.6172625743
11	0.6124770921
12	0.6082536336
13	0.6035536459
14	0.597038501
15	0.5922504472
16	0.5861772244
17	0.5805978954
18	0.5763619418
19	0.5736539744
20	0.5713229536
21	0.5688058232
22	0.5660754086
23	0.5638719448
24	0.5614672783
25	0.5596847429
26	0.5578210516
27	0.5559658359
28	0.5544922055
29	0.5528500641
30	0.5511601604
31	0.5487850176
32	0.5463991851
33	0.5443675557
34	0.540842302
35	0.5386373846
36	0.5359472269
37	0.5345307301
38	0.5333108106
39	0.5303804185
40	0.5290578616
41	0.5271197677
42	0.5254015839
43	0.523523953
44	0.522635139
45	0.5209270283
46	0.5181502164
47	0.5156157054
48	0.5147244902
49	0.5134438173
50	0.5126571848
51	0.5116298452
52	0.5109854754
53	0.5085601455
54	0.5076684627
55	0.5065401645
56	0.5047406955
57	0.5041036745
58	0.5032540031
59	0.5023345727
60	0.5012917258
61	0.5005229381
62	0.4996215895
63	0.498405832
64	0.4970017137
65	0.4960635708
66	0.4942757993
67	0.4937021678
68	0.4929006729
69	0.4920373789
70	0.4905697048
71	0.4897481863
72	0.4876676634
73	0.4872547693
74	0.4865774159
75	0.4852994353
76	0.4847583438
77	0.4832618656
78	0.4826961825
79	0.4819540669
80	0.4815009813
81	0.4790810476
82	0.4783390211
83	0.4773811661
84	0.4769336067
85	0.476469034
86	0.4755655845
87	0.474380714
88	0.4735429172
89	0.4720081932
90	0.4714539067
91	0.4708835859
92	0.4700625137
93	0.4687082781
94	0.4679732253
95	0.4673805289
96	0.4669410916
97	0.4665057307
98	0.4653955733
99	0.4647809141
100	0.4641299061
101	0.4637464432
102	0.4632766775
103	0.4628337197
104	0.4625180927
105	0.4621640721
106	0.4617275424
107	0.4605674039
108	0.4599755291
109	0.4595902081
110	0.4591028206
111	0.4585350221
112	0.4582103571
113	0.4578253901
114	0.4572074346
115	0.4566954771
116	0.456157081
117	0.4556192076
118	0.453734272
119	0.4534954399
120	0.4530568634
121	0.4524923699
122	0.4518019375
123	0.4508576064
124	0.4506263203
125	0.4502551219
126	0.4499765494
127	0.4493890648
128	0.4491919647
129	0.4488737692
130	0.448652221
131	0.4483402108
132	0.4480692266
133	0.4477473248
134	0.4473760598
135	0.4469920881
136	0.4466883329
137	0.4463440265
138	0.4460813546
139	0.4457148664
140	0.444052555
141	0.443836994
142	0.4435040135
143	0.4429697908
144	0.4426013057
145	0.4423538299
146	0.4418902308
147	0.4416660973
148	0.4410688475
149	0.4408204686
150	0.440519896
151	0.4401626716
152	0.4398199616
153	0.4393877309
154	0.4389421438
155	0.4385945955
156	0.4383456793
157	0.4380373424
158	0.4377910201
159	0.4374359705
160	0.4372483442
161	0.4368817375
162	0.4365090346
163	0.4361073842
164	0.4348747424
165	0.434480872
166	0.4341785391
167	0.4338464921
168	0.4334385069
169	0.4331319183
170	0.4323891941
171	0.4321201625
172	0.4319528134
173	0.4316631577
174	0.4313076264
175	0.4304437351
176	0.430123222
177	0.429753182
178	0.429545003
179	0.4292994469
180	0.4291140216
181	0.4288629134
182	0.4284958458
183	0.4281445211
184	0.4279075166
185	0.4272792471
186	0.4270377484
187	0.4268728399
188	0.4264775796
189	0.4261859751
190	0.425922026
191	0.4257037621
192	0.4253268729
193	0.425043803
194	0.4247328211
195	0.4245909078
196	0.4242875507
197	0.4241106041
198	0.4238738665
199	0.4235482178
200	0.4232440782
201	0.4228730113
202	0.4225219995
203	0.4219416799
204	0.4216695587
205	0.4214271096
206	0.4211060966
207	0.4208371549
208	0.4205542551
209	0.4203662029
210	0.4201832589
211	0.4199337548
212	0.4195068308
213	0.4190221303
214	0.4186790322
215	0.4183169883
216	0.4180283504
217	0.417805018
218	0.4175711436
219	0.4172072179
220	0.4170001885
221	0.4164914709
222	0.4162103291
223	0.415998583
224	0.4157320093
225	0.4155596852
226	0.4148864157
227	0.4147462485
228	0.4144561733
229	0.4140996337
230	0.4138435603
231	0.4135747742
232	0.4133273105
233	0.4131187331
234	0.4124860863
235	0.4121882906
236	0.4118954823
237	0.4106235992
238	0.4104691127
239	0.4101872366
240	0.4098753154
241	0.4095384582
242	0.4091720083
243	0.4086061085
244	0.408392977
245	0.4080275557
246	0.4077006547
247	0.4072485478
248	0.4070837259
249	0.4067956241
250	0.4065148874
251	0.4062447582
252	0.4056728996
253	0.4053433679
254	0.4051450242
255	0.4050403678
256	0.404825187
257	0.4045483864
258	0.4043025447
259	0.4035648252
260	0.4030982649
261	0.4028013246
262	0.4025234827
263	0.4023390747
264	0.4017359421
265	0.4014269625
266	0.4012962255
267	0.4009143484
268	0.4006180708
269	0.4003147251
270	0.4001313686
271	0.4000261249
272	0.399818064
273	0.3997307591
274	0.3993842686
275	0.3991592905
276	0.3990270296
277	0.3984216851
278	0.3980531828
279	0.3977629327
280	0.3975002615
281	0.3972343742
282	0.397037976
283	0.3968483242
284	0.3965920992
285	0.3963190671
286	0.3961459953
287	0.3957433332
288	0.3954408223
289	0.395192181
290	0.3950140519
291	0.3948487557
292	0.3943954174
293	0.3941268811
294	0.3940304046
295	0.3937931269
296	0.3935994298
297	0.3932763723
298	0.3931020026
299	0.3928979054
300	0.3923595944
301	0.3921986467
302	0.3917331396
303	0.3915021483
304	0.391298638
305	0.390860083
306	0.3906825365
307	0.3904069538
308	0.3901720211
309	0.3895284589
310	0.3893413068
311	0.3891759512
312	0.3889947905
313	0.3886959178
314	0.3884636657
315	0.3882844806
316	0.3880113355
317	0.3872023514
318	0.3870094047
319	0.3861744677
320	0.3860379546
321	0.3856102911
322	0.3853237941
323	0.3846528538
324	0.3843473716
325	0.3840807975
326	0.3835805276
327	0.3833229989
328	0.3830346015
329	0.3822863597
330	0.3817922669
331	0.3815530636
332	0.3812531523
333	0.3807854399
334	0.380485842
335	0.3801530808
336	0.379553864
337	0.3791710961
338	0.3788625392
339	0.3784139582
340	0.3778084839
341	0.3776462955
342	0.3774354883
343	0.3772024999
344	0.3768992291
345	0.3764366756
346	0.3762450386
347	0.3759498384
348	0.375616031
349	0.3753621395
350	0.3750942663
351	0.3748973216
352	0.3744060148
353	0.3742171527
354	0.3737575643
355	0.3735061333
356	0.37316832
357	0.3727366469
358	0.372509033
359	0.3723684573
360	0.3720546581
361	0.3714343486
362	0.3708904282
363	0.3704569493
364	0.3702466757
365	0.3698279077
366	0.369539907
367	0.3691105947
368	0.368706305
369	0.3684527381
370	0.3682160835
371	0.3679194366
372	0.3677091972
373	0.367102973
374	0.3664690873
375	0.3662823226
376	0.3658128974
377	0.3653586202
378	0.3649310861
379	0.3646757269
380	0.3644544312
381	0.3640029263
382	0.3634705894
383	0.3632132895
384	0.3627792197
385	0.3626680907
386	0.3624039613
387	0.3613356014
388	0.3611218448
389	0.3607287076
390	0.3603446338
391	0.3599894688
392	0.3590326703
393	0.3588299604
394	0.3585261799
395	0.358356322
396	0.3575721206
397	0.357410455
398	0.3570927497
399	0.3567845072
400	0.3564992169
401	0.3563779951
402	0.3559489393
403	0.3554865171
404	0.3550944309
405	0.3537827464
406	0.35361017
407	0.3526892635
408	0.3525218007
409	0.3524062269
410	0.3520703776
411	0.3518824591
412	0.3516075447
413	0.3513772727
414	0.3511447062
415	0.3506446964
416	0.350552603
417	0.3503243443
418	0.34977116
419	0.3495564793
420	0.3489572379
421	0.348642314
422	0.348386632
423	0.3478826521
424	0.3476633403
425	0.3473723276
426	0.3469456836
427	0.3462829131
428	0.3460380986
429	0.345759311
430	0.3455312038
431	0.3452312385
432	0.3449486695
433	0.3448131684
434	0.3445369833
435	0.3442085028
436	0.3440012901
437	0.3437722952
438	0.3435213477
439	0.3432728517
440	0.3430101726
441	0.3429096187
442	0.3424703083
443	0.3418769681
444	0.3413209691
445	0.3409958788
446	0.3408147343
447	0.3406230477
448	0.3404728801
449	0.3402348442
450	0.3400205118
451	0.3390392179
452	0.3387747566
453	0.3385603194
454	0.3381721461
455	0.337509778
456	0.3372136248
457	0.3369851945
458	0.3367381555
459	0.3365779825
460	0.3362427181
461	0.3360823526
462	0.3357072809
463	0.3353856242
464	0.3343558366
465	0.3337269865
466	0.3335272484
467	0.3333260161
468	0.3331504731
469	0.3323399957
470	0.3318088818
471	0.3312531547
472	0.3307225252
473	0.3304368914
474	0.3300847838
475	0.3298269961
476	0.329567235
477	0.3293292918
478	0.3291516863
479	0.3289422169
480	0.3279005653
481	0.3276698055
482	0.3273751195
483	0.3272038
484	0.326663948
485	0.3262843609
486	0.3255433202
487	0.3248192275
488	0.3246146839
489	0.3239186003
490	0.3234571483
491	0.3230721311
492	0.322744733
493	0.3224963393
494	0.3221665095
495	0.3217987692
496	0.3215164216
497	0.3211769831
498	0.321055368
499	0.3208805942
500	0.3206471092
501	0.3204789542
502	0.3199324011
503	0.3196631331
504	0.3194971113
505	0.3193057292
506	0.3191152316
507	0.3189983199
508	0.318693813
509	0.3183862661
510	0.3182714858
511	0.3181339774
512	0.3180233729
513	0.3177791779
514	0.3169965754
515	0.3167969213
516	0.3163840476
517	0.3162093244
518	0.3160046705
519	0.315302226
520	0.3150314521
521	0.3147069718
522	0.3143881816
523	0.3140835456
524	0.3136459258
525	0.3131676389
526	0.3129833823
527	0.3127435094
528	0.3125286226
529	0.3122133733
530	0.3120311961
531	0.3117837178
532	0.3115550527
533	0.3112949553
534	0.3111616464
535	0.3107903288
536	0.3104760216
537	0.3102337807
538	0.3099886371
539	0.3095251624
540	0.309382026
541	0.3092425596
542	0.3090515212
543	0.308932722
544	0.308754815
545	0.3081818421
546	0.3078555774
547	0.3076628608
548	0.3073017574
549	0.3069788676
550	0.3067426258
551	0.3064740001
552	0.3060420212
553	0.3057728303
554	0.3052772634
555	0.3051555365
556	0.3049862457
557	0.3047378436
558	0.3042877257
559	0.3040676895
560	0.3036903439
561	0.3035682309
562	0.3034340828
563	0.303145164
564	0.3028164886
565	0.3025650543
566	0.302225933
567	0.3019785792
568	0.3018402199
569	0.3016501144
570	0.3014446089
571	0.3012795931
572	0.3008615184
573	0.300632544
574	0.3004530023
575	0.3002944035
576	0.3000968258
577	0.2995229675
578	0.2993979241
579	0.2992601774
580	0.2988143768
581	0.2986386691
582	0.2984795234
583	0.2982068821
584	0.2980375637
585	0.297810104
586	0.2976485759
587	0.2974965018
588	0.2973383453
589	0.2970978997
590	0.2969770362
591	0.2966929088
592	0.2963606917
593	0.2959919201
594	0.2957632811
595	0.2955799083
596	0.2953855063
597	0.295125905
598	0.2949807516
599	0.2947639366
600	0.2945930158
601	0.2943879954
602	0.2943054628
603	0.2942032097
604	0.2940064039
605	0.2937651391
606	0.2936043515
607	0.2934721155
608	0.2930754317
609	0.2928528766
610	0.2926668475
611	0.2925019813
612	0.292309303
613	0.2921060949
614	0.2920059592
615	0.2917346044
616	0.291603574
617	0.2913826232
618	0.2911436862
619	0.2909703251
620	0.2907733641
621	0.290610178
622	0.2904547743
623	0.2903241495
624	0.2901432933
625	0.2896277491
626	0.289453183
627	0.2891631714
628	0.288941528
629	0.2888582646
630	0.2887023364
631	0.2885265776
632	0.2883731891
633	0.2881351508
634	0.2879201207
635	0.2877980654
636	0.2875946582
637	0.2873922862
638	0.2872493554
639	0.2870710559
640	0.2869220587
641	0.2868528515
642	0.2866265644
643	0.2864705147
644	0.2862951937
645	0.2862064396
646	0.2860412734
647	0.2859771055
648	0.2858687715
649	0.2856726165
650	0.285517088
651	0.2851395354
652	0.2849829395
653	0.2847631969
654	0.2845994423
655	0.2844445584
656	0.2842975148
657	0.284121483
658	0.2840032353
659	0.2838229645
660	0.2837604666
661	0.283565788
662	0.2834195093
