iter	Passed	Remaining
0	12	12561
1	23	11950
2	35	11720
3	46	11548
4	57	11464
5	68	11410
6	79	11331
7	91	11322
8	102	11310
9	114	11287
10	125	11271
11	136	11252
12	147	11233
13	159	11214
14	170	11186
15	181	11172
16	192	11134
17	203	11104
18	215	11132
19	226	11119
20	238	11110
21	249	11101
22	261	11094
23	272	11081
24	283	11064
25	295	11075
26	307	11074
27	319	11076
28	330	11061
29	341	11043
30	353	11051
31	364	11041
32	376	11033
33	387	11022
34	401	11062
35	413	11080
36	428	11163
37	443	11233
38	460	11358
39	479	11508
40	495	11579
41	509	11611
42	523	11643
43	537	11681
44	552	11718
45	566	11738
46	580	11770
47	594	11792
48	608	11810
49	622	11818
50	635	11832
51	650	11857
52	664	11870
53	677	11873
54	691	11883
55	705	11895
56	719	11909
57	733	11915
58	747	11923
59	761	11926
60	775	11943
61	790	11957
62	804	11972
63	818	11974
64	832	11973
65	846	11973
66	860	11980
67	873	11976
68	887	11978
69	901	11981
70	916	11985
71	931	12003
72	945	12009
73	967	12105
74	983	12135
75	997	12128
76	1011	12129
77	1025	12122
78	1039	12113
79	1053	12113
80	1066	12102
81	1080	12099
82	1094	12096
83	1108	12084
84	1122	12081
85	1136	12076
86	1150	12075
87	1164	12071
88	1178	12065
89	1192	12054
90	1206	12050
91	1220	12047
92	1234	12040
93	1250	12048
94	1264	12046
95	1278	12036
96	1291	12026
97	1305	12017
98	1319	12007
99	1333	12001
100	1347	11993
101	1361	11984
102	1375	11979
103	1393	12003
104	1410	12020
105	1429	12059
106	1463	12215
107	1485	12267
108	1508	12327
109	1526	12347
110	1540	12340
111	1556	12344
112	1571	12332
113	1585	12321
114	1599	12310
115	1613	12294
116	1627	12285
117	1642	12276
118	1656	12266
119	1670	12249
120	1684	12240
121	1699	12227
122	1713	12216
123	1727	12201
124	1740	12182
125	1754	12172
126	1768	12157
127	1782	12143
128	1796	12127
129	1809	12110
130	1822	12092
131	1837	12081
132	1850	12060
133	1864	12047
134	1878	12035
135	1892	12020
136	1906	12007
137	1920	11994
138	1933	11979
139	1953	12002
140	1969	11999
141	1983	11982
142	1996	11966
143	2010	11953
144	2026	11947
145	2039	11931
146	2053	11916
147	2067	11900
148	2080	11884
149	2094	11867
150	2108	11854
151	2122	11841
152	2136	11827
153	2150	11814
154	2164	11800
155	2178	11787
156	2192	11769
157	2205	11754
158	2219	11740
159	2233	11725
160	2248	11714
161	2262	11702
162	2276	11690
163	2291	11680
164	2304	11661
165	2317	11645
166	2331	11631
167	2345	11616
168	2360	11604
169	2377	11605
170	2390	11589
171	2404	11575
172	2417	11558
173	2436	11567
174	2456	11582
175	2471	11571
176	2486	11562
177	2501	11553
178	2515	11537
179	2530	11526
180	2544	11512
181	2558	11499
182	2572	11485
183	2587	11474
184	2600	11457
185	2614	11440
186	2628	11427
187	2645	11428
188	2659	11413
189	2673	11399
190	2687	11384
191	2702	11371
192	2717	11361
193	2730	11346
194	2744	11329
195	2757	11312
196	2771	11298
197	2785	11282
198	2799	11267
199	2812	11250
200	2826	11237
201	2840	11220
202	2854	11205
203	2869	11194
204	2883	11181
205	2897	11166
206	2911	11153
207	2925	11140
208	2944	11144
209	2958	11130
210	2972	11115
211	2986	11100
212	3000	11087
213	3015	11074
214	3028	11058
215	3043	11046
216	3057	11033
217	3071	11018
218	3084	11001
219	3099	10988
220	3112	10972
221	3127	10959
222	3141	10945
223	3154	10929
224	3169	10915
225	3182	10900
226	3195	10882
227	3209	10865
228	3223	10852
229	3236	10836
230	3250	10822
231	3265	10808
232	3279	10793
233	3292	10777
234	3306	10764
235	3320	10748
236	3334	10736
237	3348	10719
238	3366	10718
239	3380	10703
240	3394	10691
241	3408	10675
242	3427	10678
243	3444	10670
244	3458	10658
245	3471	10641
246	3486	10628
247	3500	10614
248	3514	10598
249	3528	10586
250	3543	10573
251	3556	10557
252	3570	10543
253	3585	10529
254	3598	10514
255	3613	10500
256	3626	10484
257	3640	10470
258	3654	10456
259	3668	10440
260	3681	10424
261	3695	10409
262	3709	10393
263	3722	10378
264	3736	10362
265	3750	10348
266	3764	10335
267	3779	10322
268	3793	10309
269	3808	10296
270	3822	10282
271	3836	10267
272	3850	10253
273	3863	10237
274	3877	10223
275	3892	10211
276	3906	10195
277	3925	10194
278	3941	10186
279	3956	10172
280	3969	10158
281	3983	10141
282	3996	10125
283	4010	10111
284	4024	10097
285	4038	10083
286	4052	10067
287	4065	10051
288	4080	10038
289	4094	10023
290	4107	10008
291	4121	9992
292	4135	9978
293	4149	9964
294	4163	9949
295	4177	9934
296	4190	9918
297	4205	9906
298	4218	9891
299	4233	9878
300	4247	9863
301	4260	9848
302	4275	9834
303	4289	9819
304	4302	9804
305	4316	9789
306	4330	9775
307	4345	9763
308	4359	9749
309	4372	9733
310	4386	9718
311	4399	9701
312	4428	9719
313	4445	9712
314	4460	9700
315	4474	9685
316	4489	9672
317	4503	9657
318	4516	9642
319	4530	9627
320	4543	9611
321	4557	9596
322	4570	9580
323	4584	9564
324	4598	9551
325	4613	9538
326	4627	9523
327	4641	9509
328	4655	9494
329	4669	9480
330	4682	9463
331	4696	9448
332	4709	9433
333	4723	9418
334	4737	9404
335	4751	9389
336	4765	9374
337	4779	9361
338	4795	9351
339	4809	9335
340	4823	9321
341	4837	9306
342	4851	9291
343	4864	9276
344	4878	9262
345	4892	9246
346	4916	9252
347	4932	9241
348	4947	9228
349	4961	9214
350	4975	9200
351	4989	9184
352	5003	9169
353	5017	9155
354	5030	9140
355	5044	9125
356	5058	9110
357	5071	9095
358	5085	9080
359	5098	9064
360	5112	9050
361	5126	9034
362	5140	9019
363	5154	9006
364	5168	8990
365	5181	8975
366	5195	8961
367	5209	8947
368	5223	8931
