iter	F1	Logloss
0	0.6172212363	0.6868625408
1	0.6186494657	0.6798739828
2	0.6327949189	0.6727120288
3	0.6378287234	0.6660479709
4	0.647533255	0.6599264152
5	0.6482055004	0.6541690999
6	0.6589563594	0.6488180138
7	0.661261589	0.644329212
8	0.6622207694	0.6392493754
9	0.6618463731	0.634585229
10	0.6621119806	0.6297838323
11	0.664356951	0.6262125429
12	0.6636265212	0.6218872925
13	0.664646145	0.6184322361
14	0.6668526411	0.6148370877
15	0.6689792798	0.6115351954
16	0.6719353182	0.607730821
17	0.6722174702	0.6045263107
18	0.6722857259	0.6025528319
19	0.6738321042	0.599550826
20	0.6734803163	0.596846316
21	0.6750956027	0.59458579
22	0.6747441988	0.5928831856
23	0.6748847164	0.591421695
24	0.675094292	0.5891893342
25	0.6752348012	0.586832662
26	0.6756547536	0.5848297614
27	0.6765637726	0.5831172124
28	0.677334351	0.5807197477
29	0.6760743081	0.5800491646
30	0.6749538412	0.5780931778
31	0.6753050778	0.5764074195
32	0.6752362668	0.5744821771
33	0.6756586109	0.573516752
34	0.6756586109	0.5716926717
35	0.6763582816	0.5701346039
36	0.6783870435	0.5682242715
37	0.6787346201	0.5669911751
38	0.6804808922	0.565841978
39	0.6795052446	0.5651028481
40	0.6791580973	0.5645657875
41	0.6785332378	0.5639493948
42	0.6796528223	0.5626492147
43	0.6820921464	0.561492516
44	0.6838352256	0.5603098917
45	0.684403546	0.5589899817
46	0.684534111	0.5579091881
47	0.6857052191	0.5572288994
48	0.6867446757	0.5563485309
49	0.6867446757	0.5561149592
50	0.6869581184	0.5555492594
51	0.6864740319	0.5547997263
52	0.6860028329	0.5536794337
53	0.6853751809	0.5533837685
54	0.6863453816	0.5524988233
55	0.6852329155	0.5522774882
56	0.6879405649	0.5508695066
57	0.6872429153	0.5501169818
58	0.6875130493	0.5493464224
59	0.6886220295	0.548237259
60	0.6884082396	0.5478330645
61	0.6886771735	0.5468832528
62	0.6890881726	0.5462390983
63	0.6895700306	0.5456481303
64	0.6892851355	0.5449939764
65	0.6903901134	0.5439095366
66	0.6895700306	0.5431484888
67	0.6901941174	0.5423566117
68	0.6911561582	0.5418030321
69	0.6899264808	0.541400114
70	0.6903367593	0.5408936406
71	0.6935049502	0.5400350851
72	0.6928109084	0.539548066
73	0.6922596161	0.5390169105
74	0.693841085	0.53870343
75	0.6927394484	0.5386133874
76	0.6947530287	0.5380156282
77	0.6946327206	0.5377875389
78	0.6954445092	0.5372046237
79	0.6960643692	0.536451258
80	0.6964693384	0.5358081346
81	0.6961832875	0.5347787966
82	0.6963262836	0.5343200544
83	0.6972065895	0.5336256992
84	0.6992493458	0.5327560183
85	0.6991060488	0.5324529269
86	0.69917769	0.5323163636
87	0.698819631	0.5315541587
